Name,Licence Number,Email,Website
Kazinga Tours Limited,UTB/RTT/TO/2019/0019,mail@kazingatours.com,http://www.kazingatours.com
Gorilla and Adventure Safaris,UTB/RTT/TO/2019/00191,tours@gorillaandadventuresafaris.com,http://www.gorillaandadventuresafaris.com
KIGEZI BIOTA TOURS,UTB/RTT/TO/2019/00219,kigezibiotatours@gmail.com,http://www.kigezibiotasafaris.com
Gazelle Safari Company Limited,UTB/RTT/TO/2019/00235,info@gazellesafaricompany.com,http://www.gazellesafaricompany.com
Pride Nature Safaris (U) Limited,UTB/RTT/TO/2019/00238,info@pridenaturesafaris.com,http://www.pridenaturesafaris.com
Cheetah Safaris Uganda,UTB/RTT/TO/2019/00240,robert@cheetahafricasafaris.com,http://www.cheetahafricasafaris.com
Pearl Afric Tour and Travel Uganda,UTB/RTT/TO/2019/00241,info@pearlafric.com,http://www.pearlafric.com
Hugu Hugu Adventures,UTB/RTT/TO/2019/00242,contact@huguhuguadventures.com,http://www.huguhuguadventures.com
Contour Safaris,UTB/RTT/TO/2019/00244,info@contoursafaritours.com,http://www.contoursafaritours.com
About Africa Limited,UTB/RTT/TO/2019/0025,amanda@about-africa.com,http://www.about-africa.com
Karumuna Safaris Limited,UTB/RTT/TO/2019/0026,info@karumunasafaris.com,http://www.karumunasafaris.com
Adventure Expeditions Ltd,UTB/RTT/TO/2019/00261,info@expeditionsuganda.com,http://www.expeditionsuganda.com
Gorilla Walking Safaris,UTB/RTT/TO/2019/00296,reservations@gorillawalkingsafaris.com,http://http://gorillawalkingsafaris.com/
Peak Cruise Safaris Limited,UTB/RTT/TO/2019/003,peakcruisesafaris@gmail.com,http://www.peakcruisesafaris.com
Irembo Holidays,UTB/RTT/TO/2019/0030,iremboholidays@gmail.com,http://www.iremboholidays.com
Fleet Tours and Travel,UTB/RTT/TO/2019/00309,mrfleetsenryconcepts@gmail.com,http://www.mrfleettoursandtravel.com
Jewel Safaris Limited,UTB/RTT/TO/2019/00311,info@jewelsafaris.com,http://www.jewelsafaris.com
Acacia Safaris Limited,UTB/RTT/TO/2019/00326,info@acaciasafaris.co.ug,http://www.acaciasafaris.co.ug
Adventure Vacations Safaris,UTB/RTT/TO/2019/0036,adventurevacationsafaris@gmail.com,http://adventurevacationsafaris.com
Impala Safaris (U) Limited,UTB/RTT/TO/2019/00367,impalacarhireservices@yahoo.com,http://www.impalasafaris.co.ug
Uganda Wildlife Safaris,UTB/RTT/TO/2019/0039,info@uganda-wildlife-safaris.com,http://www.uganda-wildlife-safaris.com
Buffalo Safari Camps,UTB/RTT/TO/2019/00401,info@buffalosafaricamps.com,http://www.buffalosafaricamps.com
Mj Safaris Uganda,UTB/RTT/TO/2019/00423,info@mjsafarisuganda.com,http://www.mjsafarisuganda.com
Bushman Safaris `,UTB/RTT/TO/2019/00437,info@bushmansafaris.com,http://www.bushmansafaris.com
Buyaga Safaris,UTB/RTT/TO/2019/00441,buyagasafarisafrica@gmail.com,http://www.buyagasafarisafrica.com
Albrieux Africa Tours (Uganda) Limited,UTB/RTT/TO/2019/00455,info@albrieuxafricatours.com,http://www.albrieuxafricatours.com
Gorilla Safari Experts,UTB/RTT/TO/2019/0047,info@gorillasafariexperts.com,http://www.gorillasafariexperts.com
Violet Safaris Limited,UTB/RTT/TO/2019/00472,violetsafarislimited@gmail.com,http://www.violetsafaris.com
Fravan Safaris,UTB/RTT/TO/2019/00496,info@fravansafaris.com,http://www.fravansafaris.com
Hanze Tours,UTB/RTT/TO/2019/00507,info@hanzetours.com,http://www.hanzetours.com
Primate Expeditions Limited,UTB/RTT/TO/2019/0051,info@primateexpeditions.info,http://www.primateexpeditions.info
Explore Africa Safaris,UTB/RTT/TO/2019/00541,info@exploreafricasafaris.net,http://www.exploreafricasafaris.net
Fl Africa Safaris,UTB/RTT/TO/2019/00564,flafricasafaris@gmail.com,http://www.flafricasafaris.com
Kent Safari Tours Limited,UTB/RTT/TO/2019/0057,info@kentsafaris.com,http://www.kentsafaris.com
Go Uganda Safari Limited,UTB/RTT/TO/2019/0062,info@gougandasafaris.com,http://www.gougandasafaris.com
Chigo Tours Africa Limited,UTB/RTT/TO/2019/0079,info@chigotours.com,http://www.chigotours.com
Gecko Safaris Uganda,UTB/RTT/TO/2019/0084,info@visitrwandagorilla.com,http://www.visitrwandagorilla.com
Kibo Slopes Uganda Limited,UTB/RTT/TO/2019/0092,kampala@kiboslopessafaris.com,http://www.kiboslopessafaris.com
Ovacado Adventures,UTB/RTT/TO/2019/0096,info@ovacadoadventures.com,http://www.ovacadoadventures.com
Manya Africa Tours,UTB/RTT/TO/2020/00104,info@manyaafricatours.com,http://www.manyaafricatours.com
Outback Adventure Safaris,UTB/RTT/TO/2020/00125,info@wildadventuresafaris.com,http://www.wildadventuresafaris.com
Volcanoes Safaris Limited,UTB/RTT/TO/2020/00145,enquiries@volcanoessafaris.com,http://www.volcanoessafaris.com
Crystal Safaris,UTB/RTT/TO/2020/00153,info@crystalsafaris.com,http://www.crystalsafaris.com
Encounter Africa Safaris,UTB/RTT/TO/2020/00161,info@gorilla-tracking-uganda.com,http://www.gorilla-tracking-uganda.com
Sense of Africa (Uganda) Limited,UTB/RTT/TO/2020/00203,info@senseofafrica.co.ug,http://www.senseofafrica.com
Range Land Safaris,UTB/RTT/TO/2020/00227,rangelandsafaris@gmail.com,http://www.rangelandsafaris.com
Alpha Adventure Safaris,UTB/RTT/TO/2020/0031,alphaadventuresafaris@gmail.com,http://www.alphatoursafaris.com
Destinations African Gorilla Limited,UTB/RTT/TO/2020/00310,info@gorillasdestinationafrica.com,http://www.gorillasdestinationafrica.com
Hope Speaks Safaris Limited,UTB/RTT/TO/2020/00323,ben@joinhopespeaks.org,http://www.hopespeakssafaris.org
Nshongi Safari Tours and Travel Limited,UTB/RTT/TO/2020/00342,info@nshongitours.com,http://http://nshongitours.com/
Experience Uganda Travel Limited,UTB/RTT/TO/2020/00365,info@experienceuganda.com,http://www.experienceuganda.com
Bic Tours Limited,UTB/RTT/TO/2020/00372,info@bic-tours.com,http://www.bic-tours.com
Simba African  Expeditions Limited,UTB/RTT/TO/2020/00374,info@africa-expeditions.com,http://www.africa-expeditions.com
Primate World Safaris (U) Limited,UTB/RTT/TO/2020/00375,info@primateworldsafaris.com,http://www.primateworldsafaris.com
Kabiza Wilderness,UTB/RTT/TO/2020/00392,kabizawildernesssafaris@kabiza.com,http://kabiza.com
Kenlink Tours and Travel Limited,UTB/RTT/TO/2020/0040,info@kenlinktoursandtravel.com,http://www.kenlinktoursandtravel.com
Pinnacle Africa,UTB/RTT/TO/2020/00417,sales@pinnaclesafaris.com,http://www.pinnacle.africa
Hail Tours (U) Ltd,UTB/RTT/TO/2020/00450,hailtoursuganda@gmail.com,http://www.hailtoursuganda.com
Ngoni Safaris Uganda Limited,UTB/RTT/TO/2020/00457,info@ngonisafarisuganda.com,http://www.ngonisafarisuganda.com
Umoja Motherland Tours,UTB/RTT/TO/2020/00462,umojamotherland@gmail.com,http://www.umojamotherlandtours.com
Nziza Hospitality,UTB/RTT/TO/2020/00479,reservations@nzizahospitality.com,http://www.nzizahospitality.com
Starmount Safaris,UTB/RTT/TO/2020/00488,info@starmountsafaris.com,http://www.starmountsafaris.com
Nature Trails East Africa,UTB/RTT/TO/2020/00500,info@eastafricantrails.com,http://www.eastafricantrails.com
Gorilla Link Tours,UTB/RTT/TO/2020/00521,info@gorillalinktoursafrica.com,http://www.gorillalinktoursafrica.com
Secret Destinations,UTB/RTT/TO/2020/00526,secretdestinationsuganda@aol.com,http://www.secretdestinationsuganda.com
Mango Safaris Uganda,UTB/RTT/TO/2020/00543,mangosafarisug@gmail.com,http://www.mangosafaris.co.ug
Trek Rwenzori Tours Ltd,UTB/RTT/TO/2020/00593,trekrwenzori@gmail.com,http://https://trekrwenzori.wixsite.com/tours
Laba Africa Expedition,UTB/RTT/TO/2020/00594,info@labaafrica.com,http://www.labaafrica.com
Trevor Tour Safaris Africa,UTB/RTT/TO/2020/00600,info@trevortoursafaris.com,http://www.trevortoursafaris.com
Corner of Earth Safari,UTB/RTT/TO/2020/00608,cornersearthsafari@gmail.com,http://www.cornersofearthsafari.com
Primate Link Safaris,UTB/RTT/TO/2020/00644,info@primatelinksafaris.com,http://www.primatelinksafaris.com
Cresco Safaris,UTB/RTT/TO/2020/00664,rinnomoekidepovalley@gmail.com,http://www.rinnomoe.com
Mahanda Africa Safaris.,UTB/RTT/TO/2020/00674,info@mahandasafaris.com,http://www.mahandasafaris.com
Primate  Safari Experiences,UTB/RTT/TO/2020/00692,info@primatesafaris.com,http://www.primatesafaris.com
Akales Tours and Safaris,UTB/RTT/TO/2020/00693,akalesproscovia@gmail.com,http://www.akalestoursandsafaris.com
ADVENTURE CONSULTS,UTB/RTT/TO/2020/00694,sales@adventureconsults.com,http://www.adventureconsults.com
Tides Africa Safaris,UTB/RTT/TO/2020/00696,info@tidesafricasafaris.net,http://www.tidesafricasafaris.net
Worthwhile Africa Safaris,UTB/RTT/TO/2020/00698,info@worthwhileafricasafaris.com,http://www.worthwhileafricasafaris.com
EYALAMA ADVENTURES LTD,UTB/RTT/TO/2020/00701,info@eyalamatravel.com,http://www.eyalamatravel.com
Mond Safaris Uganda,UTB/RTT/TO/2020/00795,mondsafaris@gmail.com,http://www.mondsafaris.com
Myler Africa Safaris,UTB/RTT/TO/2020/00797,bookings@mylerafricasafaris.com,http://www.mylerafricasafaris.com
Active African Vacations Limited,UTB/RTT/TO/2020/0091,info@vacation-safaris.com,http://www.vacation-safaris.com
Self Drive Uganda,UTB/RTT/TO/2021/001004,info@selfdriveuganda.com,http://www.selfdriveuganda.com
Gorilla Tours,UTB/RTT/TO/2021/001009,postmaster@gorillatours.com,http://www.gorillatours.com
Gorillaland Safari Holidays,UTB/RTT/TO/2021/001010,info@gorillalandsafaris.com,http://www.gorillalandsafaris.com
Lionking Safaris Uganda,UTB/RTT/TO/2021/001044,info@thelionkingsafaris.com,http://www.thelionkingsafaris.com
Sunseekers Tours & Travel,UTB/RTT/TO/2021/001055,info@sunseekerstours.com,http://https://sunseekerstours.com/
All in Africa Safaris,UTB/RTT/TO/2021/001063,info@allinafricasafaris.com,http://www.allinafricasafaris.com
Safari Travel Services,UTB/RTT/TO/2021/00163,info@uganda-rwanda-safari.com,http://www.uganda-rwanda-safari.com
Primate Journeys Africa limited,UTB/RTT/TO/2021/00180,pjasafaris@gmail.com,http://www.primatejourneys.com
Valiant Safaris,UTB/RTT/TO/2021/00239,info@valiantsafaris.com,http://www.valiantsafaris.com
Gorillas and Wildlife Safaris,UTB/RTT/TO/2021/00318,info@gorillasandwildlifesafaris.com,http://www.gorillasandwildlifesafaris.com
Asyanut Safaris & Incentives,UTB/RTT/TO/2021/00329,info@mice-uganda.com,http://www.asyanuttours-safaris.com
Speke Uganda Holidays.,UTB/RTT/TO/2021/00368,admin@spekeugandaholidays.com,http://www.spekeugandaholidays.com
Thousand Hills Expeditions Uganda Limited,UTB/RTT/TO/2021/00384,uganda@thousandhillsexpeditions.com,http://www.thousandhillsafrica.com
Roadtrip Uganda Limited,UTB/RTT/TO/2021/00400,info@roadtripafrica.com,http://https://www.roadtripafrica.com/uganda
African White Rhino Safaris.,UTB/RTT/TO/2021/00403,dan.lule2016@gmail.com,http://www.africanwhiterhinos.com
Gorilla Tour Booking Safaris,UTB/RTT/TO/2021/00560,info@gorillatourbooking.com,http://www.gorillatourbooking.com
Mamaland Safaris,UTB/RTT/TO/2021/00567,info@mamalandsafaris.com,http://www.mamalandsafaris.com
The Uganda Safari Company,UTB/RTT/TO/2021/00584,info@safariuganda.com,http://www.safariuganda.com
Great Expeditions,UTB/RTT/TO/2021/00650,greatexpeditionseastafrica@gmail.com,http://www.greatexpeditionsea.com
FOU D'AFRIQUE,UTB/RTT/TO/2021/00677,jmaimi@foudaf.com,http://www.foudaf.com
CANAAN TRAVELS,UTB/RTT/TO/2021/00787,info@canaantravels.com,http://www.canaantravels.com
KOBO SAFARIS,UTB/RTT/TO/2021/00818,jgiraldez@kobo-safari.com,http://www.kobo-safaris.com
UAT TOURS LIMITED,UTB/RTT/TO/2021/00846,nicky@lodgeuganda.com,http://www.idrive-africa.com
Topi Tours,UTB/RTT/TO/2021/00982,reservations@topitours.info,http://www.topitours.info
Wild Expeditions Uganda,UTB/RTT/TO/2021/00983,wildexpeditionsug@gmail.com,http://www.wildexpeditionsug.net
ROHIMO TOURS AND SAFARIS,UTB/RTT/TO/2021/100000,rohimotours@gmail.com,http://www.rohimotours.com
Prime Tours & Adventures,UTB/RTT/TO/2021/100013,info@primetoursuganda.com,http://www.primetoursuganda.com
Econesttim Tours and Safaris,UTB/RTT/TO/2021/100019,info@econesttimsafaris.com,http://www.econesttimsafaris.com
Africa Adventure Vacations,UTB/RTT/TO/2021/100023,info@africaadventurevacations.com,http://www.africaadventurevacations.com
Africa Tours Adventure,UTB/RTT/TO/2021/100024,info@ugandagorillassafari.com,http://www.ugandagorillassafari.com
GOEXPLORE SAFARIS,UTB/RTT/TO/2021/100027,hello@goexploresafaris.com,http://www.goexploresafaris.com
Lifetime Experience Safaris,UTB/RTT/TO/2021/100031,info@lifetimesafari.com,http://www.lifetimesafiri.om
African Skimmer Tours,UTB/RTT/TO/2021/100046,info@africanskimmertours.com,http://www.africanskimmertours.com
Village of Lakes Safaris,UTB/RTT/TO/2021/100049,villageoflakessafaris@gmail.com,http://www.villageoflakessafaris.com
GREENJOURNEYS AFRICA LIMITED,UTB/RTT/TO/2021/100052,info@greenjourneysafrica.com,http://www.greenjourneysafrica.com
Terrace Uganda Safaris,UTB/RTT/TO/2021/100056,info@terracesafaris.com,http://www.terracesafaris.com
Rorena Tours and Safaris,UTB/RTT/TO/2021/100067,rorenatoursandsafaris21@yahoo.com,http://www.rorenatoursandsafaris.com
Terrafrica Tours,UTB/RTT/TO/2021/100093,info@rare-earthtours.com,http://www.rare-earthtours.com
Nile River Explorers,UTB/RTT/TO/2021/100118,rafting@raftafrica.com,http://www.raftafrica.com
Chocolate Safaris,UTB/RTT/TO/2021/100121,chocolatesafaris@gmail.com,http://www.chocolatesafaris.com
Dolwe Safaris,UTB/RTT/TO/2021/100127,dolwesafarisltd@gmail.com,http://www.dolwesafaris.com
Motorcycle Adventures Uganda,UTB/RTT/TO/2021/100133,ugandamotorbikes@gmail.com,http://www.ugandamotocycleadventure.com
TTN Safari East Africa,UTB/RTT/TO/2022/100135,info@africatravel.de,http://www.africatravel.de
Florius Safari's Adventure,UTB/RTT/TO/2022/100141,info@floriussafariadventure.com,http://www.floriussafariadventure.com
Steadfast Safaris and Tours Limited,UTB/RTT/TO/2022/100144,info@steadfastsafaris.com,http://www.steadfastsafaris.com
Gracelands Africa Vacations Ltd,UTB/RTT/TO/2022/100150,info@gracelandsvacations.com,http://www.gracelandsvacations.com
Pearl Land Safaris,UTB/RTT/TO/2022/100155,allan@pearllandsafaris.com,http://www.pearllandsafaris.com
PRIMATE SAFARIS,UTB/RTT/TO/2022/100156,info@primatesafari.com,http://www.primatesafari.com
Ajuna Tours and Travel,UTB/RTT/TO/2022/100159,ajunatransporters2005@gmail.com,http://www.ajunatravels.com
Best Of Africa Adventures Limited,UTB/RTT/TO/2022/100161,info@bestofafricaadventures.com,http://www.bestofafricaadventures.com
Nsavi Safaris,UTB/RTT/TO/2022/100162,info@nsavisafaris.com,http://www.nsavisafaris.com
Private  Trip,UTB/RTT/TO/2022/100163,info@privatetripuganda.com,http://www.privatetripuganda.com
Musana Tours & Travel,UTB/RTT/TO/2022/100180,info@musanatoursandtravel.com,http://www.musanatoursandtravel.com
Mission Africa Safari,UTB/RTT/TO/2022/100181,office@silverbackgorillatours.com,http://www.silverbackgorillatours.com
Tales of Africa Safaris,UTB/RTT/TO/2022/100182,safaris@talesofafricasafaris.com,http://www.talesofafricasafaris.com
Wild Rwanda Safaris,UTB/RTT/TO/2022/100183,info@wildrwandasafaris.com,http://www.wildrwandasafaris.com
Gorilla Consultants,UTB/RTT/TO/2022/100184,enquiries@gorillasafariconsultants.com,http://www.gorillasafariconsultants.com
KCA Safaris,UTB/RTT/TO/2022/100186,kcasafarisandhotels@gmail.com,http://
Venture Treks and Safaris,UTB/RTT/TO/2022/100188,info@treksandsafaris.com,http://www.treksandsafaris.com
Tina Safaris,UTB/RTT/TO/2022/100189,tinasafarisuganda@gmail.com,http://www.tinasafarisug.ug
Wild Gallery Safaris,UTB/RTT/TO/2022/100190,info@wildgallerysafaris.com,http://www.wildgallerysafaris.com
Tuzza Tours and Travel,UTB/RTT/TO/2022/100201,tuzzahotel@gmail.com,http://www.tuzzahotel.com
Adventure in the Wild Safaris,UTB/RTT/TO/2022/100203,info@gorillaugandasafaris.com,http://www.gorillaugandasafaris.com
EXPLORE UGANDA WITH DAN,UTB/RTT/TO/2022/100207,admin@exploreugandawithdan.com,http://www.exploreugandawithdan.com
Access Uganda Tours Limited,UTB/RTT/TO/2022/100210,mutebihassan@yahoo.com,http://https://www.accessugandatours.com/
Funride Adventures,UTB/RTT/TO/2022/100211,info@funrideadventures.com,http://www.funrideadventures.com
Monumental expeditions and safaris limited,UTB/RTT/TO/2022/100213,info@gorillatrackings.com,http://www.gorillatracking.com
Kisoro Tours Uganda Limited,UTB/RTT/TO/2022/100214,info@kisorotoursuganda.com,http://www.kisorotoursuganda.com
Wild Jungle Trails Limited,UTB/RTT/TO/2022/100218,tours@wildjungletrails.com,http://www.wildjungletrails.com
KATELLA UGANDA SAFARIS LTD,UTB/RTT/TO/2022/100221,info@katellaugandasafaris.com,http://www.katellaugandasafaris.com
Bamboo Ecotours,UTB/RTT/TO/2022/100224,info@bambooecotours.com,http://www.bambooecotours.com
Ape Treks,UTB/RTT/TO/2022/100225,info@apetreks.com,http://www.apetreks.com
Rwenjura Tours and Travel,UTB/RTT/TO/2022/100229,info@rwenjuratoursandtravel.com,http://www.rwenjuratoursandtravel.com
Mukisa Safaris Uganda,UTB/RTT/TO/2022/100231,info@mukisasafarisuganda.com,http://https://www.mukisasafarisuganda.com/
Wild Untouched Adventure,UTB/RTT/TO/2022/100232,info@away2uganda.com,http://www.away2uganda.com
Irembo safaris,UTB/RTT/TO/2022/100235,toursstephen@gmail.com,http://www.iremboafricasafaris.com
Isunga Expeditions,UTB/RTT/TO/2022/100236,contact@isungalodge.com,http://www.isungalodge.com
Primates Quest,UTB/RTT/TO/2022/100237,info@gorillasafariafrica.com,http://www.gorillasafariafrica.com
Kajie Safaris Limited,UTB/RTT/TO/2022/100238,info@kajiesafaris.com,http://www.kajiesafaris.com
Safari For All Ltd,UTB/RTT/TO/2022/100240,info@safariforall.com,http://www.safariforall.com
African Jungle Adventures.,UTB/RTT/TO/2022/100243,info@junglesafarisuganda.com,http://www.junglesafarisuganda.com
RASTI TOURS & SAFARIS LTD,UTB/RTT/TO/2022/100247,info@rastisafaris.com,http://www.rastisafaris.com
Africa Beyond Borders,UTB/RTT/TO/2022/100249,info@africabeyondborders.com,http://www.africabeyondborders.com
Safari with Edris,UTB/RTT/TO/2022/100250,info@safariwithedris.com,http://www.safariwithedris.com
GORILLAS HOMELAND SAFARIS,UTB/RTT/TO/2022/100251,info@gorillashomelandsafaris.com,http://www.gorillashomelandsafaris.com
SILVERBACK GORILLA SAFARIS & RESORT,UTB/RTT/TO/2022/100252,byarseith2012@gmail.com,http://www.gorillacloseuplodge.com
Kiboko Africa Safaris,UTB/RTT/TO/2022/100253,kafricasafaris@gmail.com,http://www.trackgorillasuganda.com
Green World Safaris,UTB/RTT/TO/2022/100256,info@greenworldsafaris.com,http://www.greenworldsafaris.com
SAFARI UGANDA,UTB/RTT/TO/2022/100262,kontakt@safariuganda.de,http://www.safariuganda.de
CANINE SAFARIS LTD,UTB/RTT/TO/2022/100268,info@caninesafaris.com,http://www.caninesafaris.com
Hog Safaris,UTB/RTT/TO/2022/100270,hog@hogsafaris.co.ug,http://www.hogsafaris.co.ug
Gorilla Tracking Agency,UTB/RTT/TO/2022/100271,info@gorillatrackingagency.com,http://www.gorillatrackingagency.com
Adventure Boda Boda Tours Uganda,UTB/RTT/TO/2022/100274,info@ugadventure-safaris.com,http://www.ugadventure-safaris.com
Green Zones Safaris,UTB/RTT/TO/2022/100276,info@thegreenzonesafriadventures.com,http://www.thegreenzonesafriadventures.com
Nahan's Safaris,UTB/RTT/TO/2022/100277,info@nahansafarisug.com,http://www.nahansafarisug.com
KAMPALA EXECUTIVE AVIATION,UTB/RTT/TO/2022/100279,philipgill@keaviation.com,http://www.flykea.com
Red Dirt Uganda,UTB/RTT/TO/2022/100282,thies@reddirtuganda.com,http://www.reddirtuganda.com
LAMBULA WILD ADVENTURES,UTB/RTT/TO/2022/100283,info@wildadventures.ug,http://www.wildadventures.ug
Oree Safaris,UTB/RTT/TO/2022/100284,info@oreesafaris.com,http://www.oreesafaris.com
Journeys Uganda,UTB/RTT/TO/2022/100285,info@journeysuganda.com,http://www.journeysuganda.com
Karimojong Overland Safaris,UTB/RTT/TO/2022/100286,ade@ugandaprohunts.com,http://www.ugandaprohunts.com
Eagle Safaris Limited,UTB/RTT/TO/2022/100287,eliaskaboggoza@yahoo.com,http://www.eaglesafarisuganda.com
Great Adventures Uganda,UTB/RTT/TO/2022/100288,info@greatadventuresafaris.com,http://www.greatadveturesafaris.com
OFFROAD UGANDA SAFARIS,UTB/RTT/TO/2022/100291,info@offroad-safaris.com,http://www.offroad-safaris.com
Ellington Safaris,UTB/RTT/TO/2022/100299,info@ellingtonsafaris.com,http://https://ellingtonsafaris.com/
